ebird_code_v2022,scientific_name
bubgro2,Cyanoloxia rothschildii
bubwre1,Cantorchilus leucotis
bucmot2,Momotus lessonii
bucmot4,Momotus momota
buffal1,Micrastur buckleyi
buggna,Polioptila caerulea
bugtan,Thraupis episcopus
buhvir,Vireo solitarius
butsal1,Saltator maximus
butwoo1,Xiphorhynchus guttatus
buvhum1,Saucerottia hoffmanni
buwwar,Vermivora cyanoptera
calqua,Callipepla californica
cangoo,Branta canadensis
carcro1,Corvus corone
carwre,Thryothorus ludovicianus
casfin,Haemorhous cassinii
casvir,Vireo cassinii
ccbfin,Arremon brunneinucha
cedwax,Bombycilla cedrorum
cetwar1,Cettia cetti
chbchi,Poecile rufescens
chswar,Setophaga pensylvanica
chukar,Alectoris chukar
chwfog1,Dendroma erythroptera
cinmou1,Laniocera hypopyrra
cintin1,Crypturellus cinereus
cirbun1,Emberiza cirlus
citwoo1,Dendrexetastes rufigula
clanut,Nucifraga columbiana
clcrob,Turdus grayi
coatit2,Periparus ater
coffal1,Micrastur semitorquatus
colcha1,Ortalis columbiana
coltro1,Trogon collaris
combuz1,Buteo buteo
comcha,Fringilla coelebs
comchi1,Phylloscopus collybita
comgra,Quiscalus quiscula
comnig1,Luscinia megarhynchos
compau,Nyctidromus albicollis
compot1,Nyctibius griseus
comrav,Corvus corax
comwax,Estrilda astrild
comyel,Geothlypis trichas
coohaw,Accipiter cooperii
cotfly1,Todirostrum cinereum
cowpar1,Brotogeris cyanoptera
cowpig1,Columba palumbus
crelar1,Galerida cristata
cretit2,Lophophanes cristatus
crfgle1,Philydor pyrrhodes
crfpar,Psittacara finschi
daejun,Junco hyemalis
darwar1,Curruca undata
dowwoo,Dryobates pubescens
ducatt1,Attila bolivianus
ducfly,Myiarchus tuberculifer
ducgre1,Pachysylvia hypoxantha
duhpar,Aratinga weddellii
dunnoc1,Prunella modularis
dusfly,Empidonax oberholseri
dutant2,Thamnomanes ardesiacus
easblu,Sialia sialis
easkin,Tyrannus tyrannus
easpho,Sayornis phoebe
eastow,Pipilo erythrophthalmus
easwar1,Curruca cantillans
eawpew,Contopus virens
elepai,Chasiempis sandwichensis
elewoo1,Xiphorhynchus elegans
ercfra,Pternistis erckelii
eucdov,Streptopelia decaocto
eugori2,Oriolus oriolus
eulfly1,Lathrotriccus euleri
eurbla,Turdus merula
eurbul,Pyrrhula pyrrhula
eurgol,Carduelis carduelis
eurgre1,Chloris chloris
eurjay1,Garrulus glandarius
eurlin1,Linaria cannabina
eurmag1,Pica pica
eurnut2,Sitta europaea
eurrob1,Erithacus rubecula
eurser1,Serinus serinus
eursta,Sturnus vulgaris
eurwry,Jynx torquilla
eutdov,Streptopelia turtur
evegro,Coccothraustes vespertinus
fasant1,Cymbilaimus lineatus
fepowl,Glaucidium brasilianum
firecr1,Regulus ignicapilla
flrtan1,Ramphocelus flammigerus
forela1,Myiopagis gaimardii
foxspa,Passerella iliaca
garkin1,Chloroceryle inda
gcrfin,Leucosticte tephrocotis
gilbar1,Capito auratus
gnbtro1,Trogon viridis
gnttow,Pipilo chlorurus
gockin,Regulus satrapa
gocspa1,Platyrinchus coronatus
goeant1,Akletos goeldii
goftyr1,Zimmerius chrysops
gogwoo1,Piculus chrysochloros
gramou1,Rhytipterna simplex
grasal3,Saltator coerulescens
grbher3,Ardea herodias
grcfly,Myiarchus crinitus
grcfly1,Myiozetetes granadensis
greant1,Taraba major
greibi1,Mesembrinibis cayennensis
grekis,Pitangus sulphuratus
gretin1,Tinamus major
gretit1,Parus major
grfdov1,Leptotila rufaxilla
grhcha1,Ortalis cinereiceps
grnjay,Cyanocorax yncas
grswoo,Dendrocopos major
grtgra,Quiscalus mexicanus
gryant1,Myrmotherula menetriesii
gryant2,Cercomacra cinerascens
grycat,Dumetella carolinensis
gryhaw2,Buteo plagiatus
grywag,Motacilla cinerea
gycfly1,Tolmomyias poliocephalus
gycwor1,Aramides cajaneus
haiwoo,Dryobates villosus
hamfly,Empidonax hammondii
hauthr1,Turdus hauxwelli
hawama,Chlorodrepanis virens
hawcre,Loxops mana
hawgoo,Branta sandvicensis
hawhaw,Buteo solitarius
hawpet1,Pterodroma sandwichensis
herthr,Catharus guttatus
herwar,Setophaga occidentalis
higmot1,Momotus aequatorialis
hofwoo1,Melanerpes hoffmannii
hoowar,Setophaga citrina
horscr1,Anhima cornuta
houfin,Haemorhous mexicanus
houspa,Passer domesticus
houwre,Troglodytes aedon
hutvir,Vireo huttoni
iiwi,Drepanis coccinea
jabwar,Horornis diphone
kalphe,Lophura leucomelanos
kebtou1,Ramphastos sulfuratus
kenwar,Geothlypis formosa
killde,Charadrius vociferus
laufal1,Herpetotheres cachinnans
lazbun,Passerina amoena
letbar1,Eubucco richardsoni
linspa,Melospiza lincolnii
linwoo1,Dryocopus lineatus
littin1,Crypturellus soui
litwoo2,Dryobates passerinus
lobwoo1,Nasica longirostris
lotman1,Chiroxiphia linearis
lottit1,Aegithalos caudatus
louwat,Parkesia motacilla
lowant1,Myrmotherula longipennis
macwar,Geothlypis tolmiei
mallar3,Anas platyrhynchos
martit2,Poecile palustris
mastit1,Tityra semifasciata
meapar,Amazona farinosa
melbla1,Dives dives
melthr,Garrulax canorus
melwar1,Hippolais polyglotta
monoro1,Psarocolius montezuma
moublu,Sialia currucoides
mouchi,Poecile gambeli
moudov,Zenaida macroura
mouqua,Oreortyx pictus
muswre2,Cyphorhinus arada
naswar,Leiothlypis ruficapilla
norcar,Cardinalis cardinalis
norfli,Colaptes auratus
norwat,Parkesia noveboracensis
obnthr1,Catharus aurantiirostris
olioro1,Psarocolius bifasciatus
oliwoo1,Sittasomus griseicapillus
olsfly,Contopus cooperi
omao,Myadestes obscurus
orcpar,Brotogeris jugularis
orcwar,Leiothlypis celata
orfpar,Eupsittula canicularis
ovenbi1,Seiurus aurocapilla
palila,Loxioides bailleui
partan1,Tangara chilensis
pasfly,Empidonax difficilis
pavpig2,Patagioenas cayennensis
pilwoo,Dryocopus pileatus
pinsis,Spinus pinus
pirfly1,Legatus leucophaius
plawre1,Cantorchilus modestus
plbwoo1,Dendrocincla fuliginosa
pltant1,Isleria hauxwelli
pluant1,Myrmelastes hyperythrus
plupig2,Patagioenas plumbea
plwant1,Thamnophilus schistaceus
pregrs2,Melozone cabanisi
purfin,Haemorhous purpureus
puteup1,Euphonia chlorotica
putfru1,Querula purpurata
pygant1,Myrmotherula brachyura
rawwre1,Thryophilus rufalbus
rcatan1,Habia rubica
reblei,Leiothrix lutea
rebmac2,Orthopsittaca manilatus
rebnut,Sitta canadensis
rebpig1,Patagioenas flavirostris
rebwoo,Melanerpes carolinus
redcro,Loxia curvirostra
reevir1,Vireo olivaceus
rehbar1,Eubucco bourcierii
renwoo1,Campephilus rubricollis
reshaw,Buteo lineatus
rewbla,Agelaius phoeniceus
ribgul,Larus delawarensis
rinant2,Corythopis torquatus
rinkin1,Megaceryle torquata
rinwoo1,Celeus torquatus
roahaw,Rupornis magnirostris
robgro,Pheucticus ludovicianus
rocpet1,Petronia petronia
rocwre,Salpinctes obsoletus
rotbec,Pachyramphus aglaiae
royfly1,Onychorhynchus coronatus
rtlhum,Amazilia tzacatl
ruboro1,Psarocolius angustifrons
rubwre1,Pheugopedius rutilus
rucant2,Formicarius colma
ruckin,Corthylio calendula
rucspa1,Zonotrichia capensis
rucwar,Basileuterus rufifrons
rucwar1,Myiothlypis coronata
rudpig,Patagioenas subvinacea
rufant3,Formicarius rufifrons
ruftof1,Poecilotriccus latirostris
rumfly1,Myiozetetes cayanensis
runwre1,Campylorhynchus rufinucha
ruqdov,Geotrygon montana
rusbla,Euphagus carolinus
sarwar1,Curruca melanocephala
scapig2,Patagioenas speciosa
scatan,Piranga olivacea
scbwoo5,Celeus grammicus
scrpih1,Lipaugus vociferans
scrtan1,Stilpnia vitriolina
shttre1,Certhia brachydactyla
sibtan2,Ramphocelus carbo
skylar,Alauda arvensis
sltred,Myioborus miniatus
snogoo,Anser caerulescens
sobcac1,Cacicus solitarius
socfly1,Myiozetetes similis
solsan,Tringa solitaria
sonspa,Melospiza melodia
sonthr1,Turdus philomelos
specha3,Ortalis guttata
spigua1,Penelope jacquacu
spofly1,Muscicapa striata
sposan,Actitis macularius
spotow,Pipilo maculatus
spwant2,Pygiptila stellaris
squcuc1,Piaya cayana
stbwoo2,Dendroplex picus
stejay,Cyanocitta stelleri
sthwoo1,Lepidocolaptes souleyetii
strcuc1,Tapera naevia
strsal1,Saltator striatipectus
strwoo2,Xiphorhynchus obsoletus
strxen1,Xenops rutilans
stvhum2,Saucerottia saucerottei
stwqua1,Odontophorus stellatus
swaspa,Melospiza georgiana
swathr,Catharus ustulatus
tabsco1,Megascops watsonii
tenwar,Leiothlypis peregrina
thelar1,Galerida theklae
thlwre1,Campylorhynchus turdinus
towsol,Myadestes townsendi
towwar,Setophaga townsendi
trepip,Anthus trivialis
treswa,Tachycineta bicolor
trokin,Tyrannus melancholicus
trsowl,Megascops choliba
tuftit,Baeolophus bicolor
tunswa,Cygnus columbianus
undtin1,Crypturellus undulatus
veery,Catharus fuscescens
vesspa,Pooecetes gramineus
viotro3,Trogon ramonianus
warvir,Vireo gilvus
warwhe1,Zosterops japonicus
wegspa1,Melozone leucotis
wespuf1,Nystalus obamai
westan,Piranga ludoviciana
wewpew,Contopus sordidulus
whbnut,Sitta carolinensis
whbtot1,Hemitriccus griseipectus
whcpar,Pionus senilis
whcspa,Zonotrichia leucophrys
whcspa1,Platyrinchus platyrhynchos
whfant2,Myrmotherula axillaris
whfpar1,Amazona albifrons
whhwoo,Dryobates albolarvatus
whiwre1,Pheugopedius mystacalis
whltyr1,Ornithion inerme
whnrob1,Turdus albicollis
whrsir1,Sirystes albocinereus
whtdov,Leptotila verreauxi
whtspa,Zonotrichia albicollis
whttou1,Ramphastos tucanus
whtwoo2,Piculus leucolaemus
whwbec1,Pachyramphus polychopterus
wibpip1,Piprites chloris
wilsap,Sphyrapicus thyroideus
wiltur,Meleagris gallopavo
winwre4,Troglodytes troglodytes
wlswar,Cardellina pusilla
wooduc,Aix sponsa
woolar1,Lullula arborea
woothr,Hylocichla mustelina
yebcuc,Coccyzus americanus
yebela1,Elaenia flavogaster
yebori1,Icterus chrysater
yebsap,Sphyrapicus varius
yeceup1,Euphonia luteicapilla
yectyr1,Tyrannulus elatus
yefcan,Crithagra mozambica
yefgra1,Tiaris olivaceus
yehcar1,Daptrius chimachima
yelwar,Setophaga petechia
yemfly1,Tolmomyias assimilis
yercac1,Cacicus cela
yerwar,Setophaga coronata
yeteup1,Euphonia hirundinacea
yetvir,Vireo flavifrons
yetwoo2,Melanerpes cruentatus
zitcis1,Cisticola juncidis
abetow,Melozone aberti
acafly,Empidonax virescens
ashgre1,Hylophilus pectoralis
astfly,Myiarchus cinerascens
audwar,Setophaga coronata auduboni
azwmag3,Cyanopica cooki
bargoo,Branta leucopsis
batbel1,Procnias nudicollis
baymac,Ara ararauna
belvir,Vireo bellii
bkbmag1,Pica hudsonia
bkchum,Archilochus alexandri
bkhgul,Chroicocephalus ridibundus
bknsti,Himantopus mexicanus
bkpwar,Setophaga striata
blagro1,Lyrurus tetrix
blared1,Phoenicurus ochruros
blawoo1,Dryocopus martius
blbgra1,Volatinia jacarina
blcant2,Herpsilochmus atricapillus
blctit4,Baeolophus atricristatus
blfant2,Myrmoborus myotherinus
blkpho,Sayornis nigricans
blugrb1,Passerina caerulea
blumoc,Melanotis caerulescens
bncfly,Myiarchus tyrannulus
botgra,Quiscalus major
brambl,Fringilla montifringilla
brbhum,Cynanthus latirostris
brbsol1,Myadestes occidentalis
brespa,Spizella breweri
britit,Baeolophus wollweberi
brnthr,Toxostoma rufum
brthum,Selasphorus platycercus
btbwar,Setophaga caerulescens
bubfly,Empidonax fulvifrons
bulori,Icterus bullockii
bushti,Psaltriparus minimus
buthum,Lampornis clemenciae
cacwre,Campylorhynchus brunneicapillus
calthr,Toxostoma redivivum
caltow,Melozone crissalis
cantow,Melozone fusca
canwar,Cardellina canadensis
canwre,Catherpes mexicanus
carchi,Poecile carolinensis
caskin,Tyrannus vociferans
cerwar,Setophaga cerulea
chbant1,Poliocrania exsul
chbant2,Thamnophilus palliatus
chbtou1,Ramphastos vitellinus
chcant2,Grallaria ruficapilla
chispa,Spizella passerina
chiswi,Chaetura pelagica
chivir1,Vireo chivi
chobla1,Gnorimopsar chopi
chtant2,Sciaphylax hemimelaena
cinant1,Thamnomanes caesius
cinatt1,Attila cinnamomeus
clcspa,Spizella pallida
cliswa,Petrochelidon pyrrhonota
cocwoo1,Xiphorhynchus susurrans
cogdov,Columbina passerina
cohmar1,Delichon urbicum
comcan,Serinus canaria
comcra,Grus grus
comcuc,Cuculus canorus
comgal1,Gallinula galeata
comkin1,Alcedo atthis
comloo,Gavia immer
commoo3,Gallinula chloropus
comnig,Chordeiles minor
comred,Acanthis flammea
comred1,Tringa totanus
comred2,Phoenicurus phoenicurus
comsni,Gallinago gallinago
comswi,Apus apus
corbun1,Emberiza calandra
corfly,Empidonax occidentalis
cowscj1,Aphelocoma californica
crcwar,Oreothlypis superciliosa
creoro1,Psarocolius decumanus
crithr,Toxostoma crissale
cubthr,Toxostoma curvirostre
dickci,Spiza americana
dusant1,Cercomacroides tyrannina
dwtman1,Tyranneutes stolzmanni
easmea,Sturnella magna
eaywag1,Motacilla flava
eletro,Trogon elegans
eubeat1,Merops apiaster
eugwoo2,Picus viridis
eupfly1,Ficedula hypoleuca
eurcoo,Fulica atra
eurcur,Numenius arquata
eurjac,Corvus monedula
euroys1,Haematopus ostralegus
eursis,Spinus spinus
eurtre1,Certhia familiaris
eurwar1,Acrocephalus scirpaceus
eutspa,Passer montanus
fabwre1,Cantorchilus guarayanus
fieldf,Turdus pilaris
fiespa,Spizella pusilla
fiscro,Corvus ossifragus
flawar1,Myiothlypis flaveola
foxsp3,Passerella iliaca [schistacea Group]
gamqua,Callipepla gambelii
garwar1,Sylvia borin
gbwwre1,Henicorhina leucophrys
gcrwar,Basileuterus culicivorus
gilwoo,Melanerpes uropygialis
gnwtea,Anas crecca
gocspa,Zonotrichia atricapilla
gofwoo,Melanerpes aurifrons
gofwoo2,Melanerpes aurifrons [santacruzi Group]
goldcr1,Regulus regulus
gowwar,Vermivora chrysoptera
gragoo,Anser anser
graher1,Ardea cinerea
grasal2,Saltator grandis
grawar,Setophaga graciae
grepew,Contopus pertinax
greroa,Geococcyx californianus
grewhi1,Curruca communis
grhowl,Bubo virginianus
grnwoo3,Picus sharpei
grrwar1,Acrocephalus arundinaceus
grsfly1,Ptiliogonys cinereus
grwsal1,Saltator similis
gwfgoo,Anser albifrons
hapwre1,Pheugopedius felix
hawfin,Coccothraustes coccothraustes
heptan,Piranga flava
hergul,Larus argentatus
hoocro1,Corvus cornix
hooori,Icterus cucullatus
hoopoe,Upupa epops
horlar,Eremophila alpestris
ibechi2,Phylloscopus ibericus
incdov,Columbina inca
indbun,Passerina cyanea
itaspa1,Passer italiae
ivbwoo1,Xiphorhynchus flavigaster
kirwar,Setophaga kirtlandii
krunut1,Sitta krueperi
labwoo,Dryobates scalaris
leafly,Empidonax minimus
lesgol,Spinus psaltria
lesgre1,Pachysylvia decurtata
lesvio1,Colibri cyanotus
leswhi4,Curruca curruca
lobgna5,Ramphocaenus melanurus
lucwar,Leiothlypis luciae
magwar,Setophaga magnolia
marwre,Cistothorus palustris
meapip1,Anthus pratensis
mewgul,Larus canus
mexchi,Poecile sclateri
mexjay4,Aphelocoma wollweberi
misthr1,Turdus viscivorus
moutro1,Trogon mexicanus
mouwar,Geothlypis philadelphia
mouwre2,Pheugopedius genibarbis
neocor,Nannopterum brasilianum
nobtyr,Camptostoma imberbe
norbob,Colinus virginianus
norlap,Vanellus vanellus
normoc,Mimus polyglottos
norpar,Setophaga americana
nrwswa,Stelgidopteryx serripennis
nutwoo,Dryobates nuttallii
oaktit,Baeolophus inornatus
oliwar,Peucedramus taeniatus
orcori,Icterus spurius
orwpar,Amazona amazonica
osprey,Pandion haliaetus
pabthr1,Turdus leucomelas
pacwre1,Troglodytes pacificus
paired,Myioborus pictus
paltan1,Thraupis palmarum
palwar,Setophaga palmarum
parcro2,Loxia pytyopsittacus
pefpar1,Eupsittula aurea
phaino,Phainopepla nitens
pibgre,Podilymbus podiceps
picpig2,Patagioenas picazuro
pinjay,Gymnorhinus cyanocephalus
pinwar,Setophaga pinus
plaant1,Dysithamnus mentalis
plasla1,Thamnophilus pelzelni
plsvir,Vireo plumbeus
prawar,Setophaga discolor
prowar,Protonotaria citrea
purmar,Progne subis
pygnut,Sitta pygmaea
pyrrhu,Cardinalis sinuatus
recwoo1,Melanerpes rubricapillus
redjun,Gallus gallus
redwin,Turdus iliacus
reebun,Emberiza schoeniclus
rehwoo,Melanerpes erythrocephalus
relpar,Amazona autumnalis
relser1,Cariama cristata
rensap,Sphyrapicus nuchalis
rercac1,Cacicus haemorrhous
rinphe1,Phasianus colchicus
rocpig,Columba livia
rook1,Corvus frugilegus
rorpar,Psittacula krameri
rubpep1,Cyclarhis gujanensis
rubrob,Turdus rufopalliatus
rubthr1,Turdus rufiventris
rucspa,Aimophila ruficeps
rufhor2,Furnarius rufus
rugdov,Columbina talpacoti
rutjac1,Galbula ruficauda
ruwant4,Herpsilochmus rufimarginatus
saffin,Sicalis flaveola
sancra,Antigone canadensis
savspa,Passerculus sandwichensis
saytan1,Thraupis sayaca
scadov1,Columbina squammata
scbwre1,Microcerculus marginatus
scoori,Icterus parisorum
scsvir1,Vireolanius leucotis
sedwar1,Acrocephalus schoenobaenus
shcfly1,Myiarchus ferox
sincro1,Corvus sinaloae
sinwre1,Thryophilus sinaloa
slaspi1,Synallaxis brachyura
slcgro1,Saltator grossus
smbani,Crotophaga ani
sobtyr1,Camptostoma obsoletum
sofspi1,Synallaxis frontalis
sora,Porzana carolina
soulap1,Vanellus chilensis
sposta1,Sturnus unicolor
spvear1,Colibri coruscans
stbori,Icterus pustulatus
stonec4,Saxicola rubicola
strfly1,Myiodynastes maculatus
subfly,Myiodynastes luteiventris
sumtan,Piranga rubra
swtman1,Chiroxiphia caudata
thbeup1,Euphonia laniirostris
thbkin,Tyrannus crassirostris
thlant2,Myrmothera campanisona
thrnig1,Luscinia luscinia
trogna1,Polioptila plumbea
tropar,Setophaga pitiayumi
tuffly,Mitrephanes phaeocercus
varbun,Passerina versicolor
varthr,Ixoreus naevius
verdin,Auriparus flaviceps
verfly,Pyrocephalus rubinus
vigswa,Tachycineta thalassina
viojay1,Cyanocorax violaceus
webwar1,Phylloscopus bonelli
wefgle1,Automolus leucophthalmus
wesant1,Thamnophilus atrinucha
wesblu,Sialia mexicana
weskin,Tyrannus verticalis
wesmea,Sturnella neglecta
whbant6,Myrmoborus leucophrys
whcsee1,Sporophila morelleti
whcsee2,Sporophila torqueola
whehum,Basilinna leucotis
whevir,Vireo griseus
whiwag,Motacilla alba
whoswa,Cygnus cygnus
whtrob1,Turdus assimilis
whwcro,Loxia leucoptera
whwdov,Zenaida asiatica
wilfly,Empidonax traillii
wilsni1,Gallinago delicata
wiltit1,Poecile montanus
winwre3,Troglodytes hiemalis
wlwwar,Phylloscopus trochilus
wooscj2,Aphelocoma woodhouseii
woowar,Phylloscopus sibilatrix
wrenti,Chamaea fasciata
y00475,Fulica americana
yebcha,Icteria virens
yebfly,Empidonax flaviventris
yebfly3,Tolmomyias flaviventris
yebsee1,Sporophila nigricollis
yecpar,Brotogeris chiriri
yeejun,Junco phaeonotus
yehbla,Xanthocephalus xanthocephalus
yelgro,Pheucticus chrysopeplus
yelgul1,Larus michahellis
yellow2,Emberiza citrinella
yelwar1,Setophaga petechia [aestiva Group]
yeofly1,Tolmomyias sulphurescens
yewcac1,Cassiculus melanicterus
